,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2019-12-31 18:00:03.048000,1.049373499020812e-08,1.0633880683762995e-08,1.0687241458024704e-08,9.643095955711842e-09
2019-12-31 18:15:03.048000,1.0318964575414917e-08,1.047207221905164e-08,1.0537535210476018e-08,9.50298150374821e-09
2019-12-31 18:30:03.048000,1.109218542572463e-08,1.1288921321454485e-08,1.137144149030686e-08,1.0362056533619735e-08
2019-12-31 18:45:03.048000,1.0604857716141745e-08,1.077279283656141e-08,1.0833552972175758e-08,9.812670244530382e-09
2019-12-31 19:00:03.048000,1.0137439812686042e-08,1.0248993094974897e-08,1.0293380124921407e-08,9.383026504699778e-09
2019-12-31 19:15:03.048000,1.004567650866756e-08,1.0150602427573909e-08,1.0184627816749897e-08,9.310828020937928e-09
2019-12-31 19:30:03.048000,9.047274307009957e-09,9.14194558267836e-09,9.175178111700232e-09,8.276062838743677e-09
2019-12-31 19:45:03.048000,9.551781372202443e-09,9.64451501643137e-09,9.673936146169177e-09,8.871848389704038e-09
2019-12-31 20:00:03.048000,8.810035472651171e-09,8.908692288161103e-09,8.939536397999972e-09,8.175308654013734e-09
2019-12-31 20:15:03.048000,8.064233564652781e-09,8.157675972022408e-09,8.185857925711027e-09,7.389060672447926e-09
2019-12-31 20:30:03.048000,7.843938159273049e-09,7.935886337928144e-09,7.969521835815926e-09,7.2391785366923946e-09
2019-12-31 20:45:03.048000,7.422243986930102e-09,7.51832256517527e-09,7.553013346758924e-09,6.814291166124684e-09
2019-12-31 21:00:03.048000,7.107376574400847e-09,7.221487872009093e-09,7.255778689018556e-09,6.55749074217298e-09
2019-12-31 21:15:03.048000,7.01088530467185e-09,7.122592490484728e-09,7.157252335270022e-09,6.528948357248616e-09
2019-12-31 21:30:03.048000,5.8660510996610635e-09,5.957967110596031e-09,5.987874468763485e-09,5.307608400264701e-09
2019-12-31 21:45:03.048000,5.300491258523377e-09,5.394274611546235e-09,5.432851697577592e-09,4.704431945619119e-09
2019-12-31 22:00:03.048000,5.0638835075344995e-09,5.154653067623676e-09,5.1946445452875045e-09,4.581294760541254e-09
2019-12-31 22:15:03.048000,4.544533235603135e-09,4.622859337222035e-09,4.654228661839277e-09,4.046420759316982e-09
2019-12-31 22:30:03.048000,4.069402065000929e-09,4.145448553774321e-09,4.174814492792744e-09,3.4912348981773138e-09
2019-12-31 22:45:03.048000,3.723229175059791e-09,3.8007687698241124e-09,3.822949441212211e-09,3.1782625101269995e-09
2019-12-31 23:00:03.048000,3.679275054681072e-09,3.756535571372575e-09,3.779575748118293e-09,3.1923775901011538e-09
2019-12-31 23:15:03.048000,3.4725186791197233e-09,3.5490959157127288e-09,3.572256381404961e-09,3.017017186228514e-09
2019-12-31 23:30:03.048000,3.38751421803476e-09,3.465803173366871e-09,3.4947353213035834e-09,2.99989644876522e-09
2019-12-31 23:45:03.048000,3.4750152795266107e-09,3.5489115399161526e-09,3.5832383685492556e-09,3.062323347608079e-09
2020-01-01 00:00:03.048000,3.208195827687397e-09,3.2773523409684934e-09,3.3023698775395346e-09,2.7482281715664725e-09
2020-01-01 00:15:03.048000,3.523306450045556e-09,3.6087979520113244e-09,3.6387408654694666e-09,3.134749618934305e-09
2020-01-01 00:30:03.048000,3.730030279580426e-09,3.815395520591202e-09,3.846105681418284e-09,3.3022163361499855e-09
2020-01-01 00:45:03.048000,3.446958284523104e-09,3.5270910055514614e-09,3.5466195640038213e-09,2.9173237868058687e-09
2020-01-01 01:00:03.048000,3.489684940487147e-09,3.5729554416215416e-09,3.5932863140878637e-09,2.9967888929777763e-09
2020-01-01 01:15:03.048000,3.3752698096582175e-09,3.444752492135945e-09,3.460667716238734e-09,2.9443326347828086e-09
2020-01-01 01:30:03.048000,3.5992559011933422e-09,3.6698546948640798e-09,3.6883320490342104e-09,3.1767892294324034e-09
2020-01-01 01:45:03.048000,4.3675402803601354e-09,4.429977503066507e-09,4.447553188202391e-09,3.999290607695248e-09
2020-01-01 02:00:03.048000,4.199392595907255e-09,4.2679341025631674e-09,4.293990827362819e-09,3.9017669727899195e-09
2020-01-01 02:15:03.048000,3.43314544480561e-09,3.5066097250900176e-09,3.532445489759696e-09,3.0439521735454694e-09
