,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2020-12-31 18:00:00.273000,1.2699504197148183e-08,1.2836294876651148e-08,1.2879398184765605e-08,1.2230882640575667e-08
2020-12-31 18:15:00.273000,1.2157891421775077e-08,1.2329879139276117e-08,1.2385577596708701e-08,1.1727496127237318e-08
2020-12-31 18:30:00.273000,1.06588480462264e-08,1.0861985066748602e-08,1.0929781062040403e-08,1.0137264606402585e-08
2020-12-31 18:45:00.273000,1.1843043942332976e-08,1.2060834371522484e-08,1.2123879065719712e-08,1.1412932148327831e-08
2020-12-31 19:00:00.273000,1.0393553321862816e-08,1.0606045861368575e-08,1.0667480689578398e-08,9.897347171636416e-09
2020-12-31 19:15:00.273000,9.53979608690465e-09,9.694037108683338e-09,9.738878590786478e-09,9.009939217067647e-09
2020-12-31 19:30:00.273000,9.634368576278249e-09,9.809443878012775e-09,9.85967478795523e-09,9.109679073182668e-09
2020-12-31 19:45:00.273000,9.904251071531996e-09,1.007785377740393e-08,1.0128877688743043e-08,9.435015893042359e-09
2020-12-31 20:00:00.273000,1.1131222660573267e-08,1.1262387951692328e-08,1.130206517720206e-08,1.0758670458084278e-08
2020-12-31 20:15:00.273000,1.3521503354170353e-08,1.3592779936844615e-08,1.3617031330644245e-08,1.3235538534807284e-08
2020-12-31 20:30:00.273000,1.0177857375074167e-08,1.0249744182527603e-08,1.0277511138932957e-08,9.858080665366736e-09
2020-12-31 20:45:00.273000,5.900220279562954e-09,6.007632774752124e-09,6.040783295902036e-09,5.368013934769602e-09
2020-12-31 21:00:00.273000,5.426860108709459e-09,5.5384993444854326e-09,5.575865639871123e-09,4.872705056635286e-09
2020-12-31 21:15:00.273000,5.0295356438542485e-09,5.1206841727235045e-09,5.152166676828202e-09,4.494346187993788e-09
2020-12-31 21:30:00.273000,4.6421955629033366e-09,4.7380152429466994e-09,4.768054144118758e-09,4.212727924932027e-09
2020-12-31 21:45:00.273000,4.2322989328316385e-09,4.328004496415594e-09,4.3579702782331025e-09,3.858322510791265e-09
2020-12-31 22:00:00.273000,3.579485899510785e-09,3.652767856739414e-09,3.678372198376978e-09,3.1326082654747215e-09
2020-12-31 22:15:00.273000,3.945006557051494e-09,4.038287575767788e-09,4.072085176382805e-09,3.550200291431302e-09
2020-12-31 22:30:00.273000,4.0775865416620375e-09,4.186623892774326e-09,4.221745803514121e-09,3.6871869769486926e-09
2020-12-31 22:45:00.273000,5.043021315636333e-09,5.096371252756116e-09,5.1107506567689366e-09,3.3533091796474684e-09
2020-12-31 23:00:00.273000,4.109897909382553e-09,4.159199438353722e-09,4.175021103155612e-09,2.7076846675768946e-09
2020-12-31 23:15:00.273000,2.520067998166629e-09,2.5888049693748033e-09,2.611918223579286e-09,2.1459432053454317e-09
2020-12-31 23:30:00.273000,3.078628153700925e-09,3.158754063386069e-09,3.1855981149961485e-09,2.8105799968403967e-09
2020-12-31 23:45:00.273000,4.948345692904083e-09,5.097336645164905e-09,5.163159481888381e-09,4.832471267052331e-09
2021-01-01 00:00:00.273000,5.022329610973032e-09,5.1997016013127086e-09,5.2772455119323e-09,4.9452641221094744e-09
2021-01-01 00:15:00.273000,4.517859857478183e-09,4.665740385800972e-09,4.726021637005065e-09,4.326326793768816e-09
2021-01-01 00:30:00.273000,3.778348522887717e-09,3.901363405972253e-09,3.954295090609863e-09,3.517694960579508e-09
2021-01-01 00:45:00.273000,2.8268048393226833e-09,2.898233713455792e-09,2.9198801896710988e-09,2.4643846310763595e-09
2021-01-01 01:00:00.273000,2.7705876233401994e-09,2.8290388450354117e-09,2.847887792019975e-09,2.2898064911401066e-09
2021-01-01 01:15:00.273000,2.767758805036014e-09,2.839947767966717e-09,2.865347584205132e-09,2.424884859470797e-09
2021-01-01 01:30:00.273000,2.7584634523775746e-09,2.8296936884542018e-09,2.855601391140389e-09,2.3872978290303783e-09
2021-01-01 01:45:00.273000,3.027486609097242e-09,3.094316215196035e-09,3.1143754791808938e-09,2.673917269201673e-09
2021-01-01 02:00:00.273000,2.8035938955013814e-09,2.8704413924996745e-09,2.899903278725567e-09,2.5454797356520887e-09
2021-01-01 02:15:00.273000,2.804851266449599e-09,2.868125350647311e-09,2.900349759776281e-09,2.5374940211427995e-09
2021-01-01 02:30:00.273000,2.7011091238434366e-09,2.7658013091830573e-09,2.7940017750131727e-09,2.480593726739369e-09
2021-01-01 02:45:00.273000,2.4670254062258e-09,2.5258012802066235e-09,2.55208247493426e-09,2.241617788419663e-09
2021-01-01 03:00:00.273000,1.996251024495987e-09,2.0444860455919006e-09,2.063462665900364e-09,1.6655055356822216e-09
2021-01-01 03:15:00.273000,4.0873265102242265e-09,4.20233822485743e-09,4.245304049027287e-09,3.8419692585424066e-09
2021-01-01 03:30:00.273000,3.1554827177978157e-09,3.2464681967227006e-09,3.285019641558169e-09,2.98108586166594e-09
2021-01-01 03:45:00.273000,1.6489474303088026e-09,1.6865775160522562e-09,1.707023751806791e-09,1.3688132429047234e-09
2021-01-01 04:00:00.273000,2.5691141513256013e-09,2.6163726687221472e-09,2.6315780883938097e-09,2.3512707580248746e-09
2021-01-01 04:15:00.273000,3.3375776896218666e-09,3.403882497413354e-09,3.42279802896004e-09,3.1629971902091167e-09
2021-01-01 04:30:00.273000,2.301550021492383e-09,2.3542702889836372e-09,2.37918030238089e-09,2.0910508850285376e-09
2021-01-01 04:45:00.273000,2.6389390195140593e-09,2.7072263409936786e-09,2.738401984168992e-09,2.497602809428829e-09
2021-01-01 05:00:00.273000,2.598732239440208e-09,2.65668912282101e-09,2.6825718941021323e-09,2.434753313588083e-09
2021-01-01 05:15:00.273000,3.3153734886968186e-09,3.3707774160792267e-09,3.3974161784937847e-09,3.056851551890134e-09
2021-01-01 05:30:00.273000,3.3595527360216085e-09,3.4347093154134364e-09,3.489806643175439e-09,3.040355739250771e-09
2021-01-01 05:45:00.273000,3.2054318308140812e-09,3.2562926046329312e-09,3.284692474718695e-09,2.933575813665803e-09
2021-01-01 06:00:00.273000,2.9294882914083395e-09,2.96799095514608e-09,2.9871331440729217e-09,2.5761195964665014e-09
2021-01-01 06:15:00.273000,4.2783546933866696e-09,4.353609738971347e-09,4.381256463671796e-09,3.934733975959409e-09
2021-01-01 06:30:00.273000,5.194479337863247e-09,5.31486906022809e-09,5.353523951741875e-09,4.9763968088252265e-09
2021-01-01 06:45:00.273000,7.070534619572188e-09,7.255762951056677e-09,7.3005396206838414e-09,6.974245558473378e-09
2021-01-01 07:00:00.273000,5.9752167146114236e-09,6.1706352149985834e-09,6.21561082699228e-09,5.818708994113673e-09
2021-01-01 07:15:00.273000,7.770935709213556e-09,7.889715325719459e-09,7.951174379160611e-09,7.56083423687713e-09
2021-01-01 07:30:00.273000,1.2843643264240116e-08,1.299729565220795e-08,1.3072702356225782e-08,1.2726585786453623e-08
2021-01-01 07:45:00.273000,1.2264706081242126e-08,1.2418824687298182e-08,1.2476318247583844e-08,1.2151808666435513e-08
2021-01-01 08:00:00.273000,7.995666171489838e-09,8.195704197379071e-09,8.254411479619179e-09,7.864022564193786e-09
2021-01-01 08:15:00.273000,7.782672849298278e-09,7.984881790117573e-09,8.046467536098195e-09,7.55644439883459e-09
2021-01-01 08:30:00.273000,7.641468530705284e-09,7.791116347170427e-09,7.84826672850584e-09,7.314586665852234e-09
2021-01-01 08:45:00.273000,8.365538280764392e-09,8.457720585376683e-09,8.485611579731402e-09,8.074135414536123e-09
2021-01-01 09:00:00.273000,9.398033935869852e-09,9.467838789030884e-09,9.490919046588517e-09,9.112428145136639e-09
2021-01-01 09:15:00.273000,7.386498706777707e-09,7.467253416089877e-09,7.498741704146842e-09,7.0360757885626716e-09
2021-01-01 09:30:00.273000,6.73318243550626e-09,6.826652063034705e-09,6.86131759719282e-09,6.369260409686849e-09
2021-01-01 09:45:00.273000,7.500002356348159e-09,7.587665240545559e-09,7.625085396741659e-09,7.154709562813805e-09
2021-01-01 10:00:00.273000,7.76330499533143e-09,7.878092120875085e-09,7.918092020726861e-09,7.383388215982115e-09
2021-01-01 10:15:00.273000,8.718304919495673e-09,8.828675122185849e-09,8.862826441941653e-09,8.3270514766408e-09
2021-01-01 10:30:00.273000,9.333334979037479e-09,9.55157667314633e-09,9.61484306809464e-09,9.09122488703114e-09
2021-01-01 10:45:00.273000,1.122979729763291e-08,1.1578069050539662e-08,1.1677474370293137e-08,1.113475174847793e-08
2021-01-01 11:00:00.273000,1.0627450160911343e-08,1.0749185660281995e-08,1.0795892847861246e-08,1.0369272809998492e-08
2021-01-01 11:15:00.273000,8.6342052721891e-09,8.736583935749426e-09,8.77181689908422e-09,8.299203732980067e-09
2021-01-01 11:30:00.273000,9.105808098766286e-09,9.311731974885906e-09,9.367885810712603e-09,8.86547394647611e-09
2021-01-01 11:45:00.273000,8.531153228256431e-09,8.695552010752584e-09,8.754275487099981e-09,8.187189577319722e-09
2021-01-01 12:00:00.273000,8.055946763748647e-09,8.219400409188158e-09,8.279892953217538e-09,7.687480924131802e-09
2021-01-01 12:15:00.273000,8.878903612316056e-09,9.055211385355287e-09,9.113737376558544e-09,8.600667369371742e-09
2021-01-01 12:30:00.273000,8.203605944926077e-09,8.319568602764698e-09,8.361189536597822e-09,7.779718338377902e-09
2021-01-01 12:45:00.273000,7.486517288224673e-09,7.60623258285673e-09,7.648528203381152e-09,6.9806424547106355e-09
2021-01-01 13:00:00.273000,8.932316660671882e-09,9.030217842797417e-09,9.063785237400422e-09,7.86893875852261e-09
2021-01-01 13:15:00.273000,7.915084863791796e-09,8.041302189935e-09,8.082786898245276e-09,7.2803267177669524e-09
2021-01-01 13:30:00.273000,8.17616186207304e-09,8.358911885932338e-09,8.422549455526256e-09,7.768334814603807e-09
2021-01-01 13:45:00.273000,9.891025083980758e-09,1.0337149779374766e-08,1.042378904523696e-08,9.80684604949356e-09
2021-01-01 14:00:00.273000,9.326624687905576e-09,9.676192855764132e-09,9.749443029525157e-09,9.005270218200111e-09
