,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2019-03-21 12:37:49.091000,2.4023237558755715e-08,2.602975246078302e-08,2.6234367925480927e-08,2.395746255623721e-08
2019-03-21 12:52:49.091000,2.4666006044741034e-08,2.667555449778516e-08,2.694954324645479e-08,2.414273656424196e-08
2019-03-21 13:07:49.091000,2.503199834334554e-08,2.717212289290266e-08,2.7590032988830833e-08,2.4227546368784137e-08
2019-03-21 13:22:49.091000,2.4948138789746154e-08,2.7135352582709286e-08,2.7443402493492514e-08,2.5054391890251684e-08
2019-03-21 13:37:49.091000,2.3469741817930405e-08,2.5673577848962875e-08,2.5906027063584132e-08,2.3765274351287095e-08
2019-03-21 13:52:49.091000,2.397575449104474e-08,2.6458788701015714e-08,2.7138738445323467e-08,2.4464760779109376e-08
2019-03-21 14:07:49.091000,2.4190621512362517e-08,2.6786229792215724e-08,2.750893451392221e-08,2.44458712331604e-08
2019-03-21 14:22:49.091000,2.5226059072550254e-08,2.7576502579037453e-08,2.7867230546477535e-08,2.5416213596428985e-08
2019-03-21 14:37:49.091000,2.5088006894660437e-08,2.7373074501780687e-08,2.7751287791476232e-08,2.513034695245134e-08
2019-03-21 14:52:49.091000,2.538077609333147e-08,2.7680942626717993e-08,2.803075317823669e-08,2.5713889210378945e-08
2019-03-21 15:07:49.091000,2.4681574266014263e-08,2.6964595823364137e-08,2.7212952488712234e-08,2.496885475422567e-08
2019-03-21 15:22:49.091000,2.3591946206341785e-08,2.6052135364652178e-08,2.667400400813502e-08,2.3855646510516824e-08
2019-03-21 15:37:49.091000,2.3929329810187945e-08,2.6279111839915017e-08,2.690509032560433e-08,2.407392806557886e-08
2019-03-21 15:52:49.091000,2.4646326410389884e-08,2.6809672620045747e-08,2.709121311639935e-08,2.4595626851981447e-08
2019-03-21 16:07:49.091000,2.4635259681253755e-08,2.6971406958971098e-08,2.7214529775789573e-08,2.509149171456328e-08
2019-03-21 16:22:49.091000,2.517184205278663e-08,2.728681931901582e-08,2.75255623420792e-08,2.543562880152192e-08
2019-03-21 16:37:49.091000,2.4193430634460402e-08,2.6254352309496122e-08,2.649522586871695e-08,2.4278537309744232e-08
2019-03-21 16:52:49.091000,2.4483247061471637e-08,2.66762106798266e-08,2.6880697800406547e-08,2.487502244098013e-08
2019-03-21 17:07:49.091000,2.4977277144588466e-08,2.7100120977306144e-08,2.7313805012899064e-08,2.5265874566890907e-08
2019-03-21 17:22:49.091000,2.4190674246785934e-08,2.6287711742613482e-08,2.6491564309020985e-08,2.4523757763003322e-08
2019-03-21 18:00:00.771000,2.4108756733102515e-08,2.6021054004559197e-08,2.623030104470952e-08,2.434338193024708e-08
2019-03-21 18:15:00.771000,1.976228174830932e-08,2.1140016261408556e-08,2.129717875424939e-08,1.968112785901752e-08
2019-03-21 18:30:00.771000,9.154439167119943e-09,9.786914036277641e-09,9.873234633242029e-09,8.81007007052842e-09
2019-03-21 18:45:00.771000,1.9294992050959328e-08,2.092049737449434e-08,2.1106523077445333e-08,1.9436138406226947e-08
2019-03-21 19:00:00.771000,2.20356318352594e-08,2.383923848863816e-08,2.4049375630729743e-08,2.239374804903917e-08
2019-03-21 19:15:00.771000,2.11458033550632e-08,2.294620295027718e-08,2.3160161849753622e-08,2.1536241907617732e-08
2019-03-21 19:30:00.771000,2.155544758064749e-08,2.3305296397723213e-08,2.350165851000111e-08,2.1848210393068576e-08
2019-03-21 19:45:00.771000,2.1190466251410618e-08,2.307555490837102e-08,2.3259694038588157e-08,2.158616007958967e-08
2019-03-21 20:00:00.771000,2.2428560761466384e-08,2.429822770163229e-08,2.446563217958886e-08,2.286346178890738e-08
2019-03-21 20:15:00.771000,2.2642244179718455e-08,2.445913191492282e-08,2.4622687459180175e-08,2.3042452135292186e-08
2019-03-21 20:30:00.771000,2.1561957934092824e-08,2.3410949526138758e-08,2.3592031330082175e-08,2.2124633953909487e-08
2019-03-21 20:45:00.771000,2.0426032068864587e-08,2.2179002190584405e-08,2.2356587074330632e-08,2.0955631870595558e-08
2019-03-21 21:00:00.771000,2.3010233010089063e-08,2.4804725262555783e-08,2.499044442288582e-08,2.3490683983553347e-08
2019-03-21 21:15:00.771000,2.3986976929909044e-08,2.5921976255977116e-08,2.6094982160685238e-08,2.450526798856388e-08
2019-03-21 21:30:00.771000,2.1141239328478233e-08,2.2901147293479163e-08,2.305819911676687e-08,2.1538590432835216e-08
2019-03-21 21:45:00.771000,2.0459174225358116e-08,2.2090834955933038e-08,2.225069760685116e-08,2.0948368369405102e-08
2019-03-21 22:00:00.771000,2.256112049035278e-08,2.404052763936915e-08,2.4167976492816793e-08,2.11262085668629e-08
2019-03-21 22:15:00.771000,2.4256724517673663e-08,2.5602017945562293e-08,2.5702507302963082e-08,2.1277374865771072e-08
2019-03-21 22:30:00.771000,2.036191977451319e-08,2.1939264717552265e-08,2.2047013141042334e-08,2.0825631767468107e-08
2019-03-21 22:45:00.771000,1.883813714378017e-08,2.030784861310968e-08,2.0403626967161114e-08,1.9296059804504824e-08
2019-03-21 23:00:00.771000,1.7384341734899243e-08,1.8961592555084983e-08,1.9058580424678094e-08,1.7929111045724864e-08
2019-03-21 23:15:00.771000,1.617806514960289e-08,1.766201980901482e-08,1.7760133313327692e-08,1.6602916499504047e-08
2019-03-21 23:30:00.771000,1.5360494341255587e-08,1.6872445286565212e-08,1.6959494512432608e-08,1.5936879138579917e-08
2019-03-21 23:45:00.771000,1.715099303731504e-08,1.8768633836417593e-08,1.8854700975761573e-08,1.7745131867692382e-08
2019-03-22 00:00:00.771000,1.8287682258871334e-08,1.9922212724611695e-08,2.000644099839012e-08,1.8922187135793016e-08
2019-03-22 00:15:00.771000,1.7494172955695108e-08,1.915331421756786e-08,1.9243415578330186e-08,1.8184978166570544e-08
2019-03-22 00:30:00.771000,1.5775680903270875e-08,1.7420330218683352e-08,1.7515724857122474e-08,1.6393908328830712e-08
2019-03-22 00:45:00.771000,1.5721523929973673e-08,1.7296086947353593e-08,1.7378894900199884e-08,1.637899980293589e-08
2019-03-22 01:00:00.771000,1.558014266727766e-08,1.702282454803723e-08,1.7101614069450742e-08,1.619652836505849e-08
2019-03-22 01:15:00.771000,1.6137892278856588e-08,1.768358600086673e-08,1.77693576591763e-08,1.6904753240279053e-08
2019-03-22 01:30:00.771000,1.6288226536487385e-08,1.7814031239042108e-08,1.7901162286762357e-08,1.6857753459423168e-08
