,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2019-02-27 11:25:47.477000,1.0952429496291336e-08,1.4755976200899675e-08,1.7101876310926727e-08,1.2128960702469471e-08
2019-02-27 11:40:47.477000,1.1215609765616644e-08,1.5050291655399187e-08,1.735528136515252e-08,1.2310935547808096e-08
2019-02-27 11:55:47.477000,1.0652944734962172e-08,1.5613425313158422e-08,1.827470479325222e-08,1.2551240999644165e-08
2019-02-27 12:10:47.477000,1.0390453052512596e-08,1.495874856675278e-08,1.757001743459519e-08,1.2016707401895399e-08
2019-02-27 12:25:47.477000,1.1272584538532529e-08,1.5201380037165414e-08,1.723555588240031e-08,1.2356765152623094e-08
2019-02-27 12:40:47.477000,1.3653075710037417e-08,1.63295148327292e-08,1.7775205767336628e-08,1.3015026615633764e-08
2019-02-27 12:55:47.477000,1.423722156340496e-08,1.7737260154551884e-08,1.971392986944308e-08,1.4074695988858254e-08
2019-02-27 13:10:47.477000,1.1724218495023034e-08,1.645536773843528e-08,1.8913623926793837e-08,1.3108863635219082e-08
2019-02-27 13:25:47.477000,1.1591852819644012e-08,1.616519839566091e-08,1.868592960452122e-08,1.2840736072921458e-08
2019-02-27 13:40:47.477000,1.1345848084873344e-08,1.538794948837254e-08,1.7501840850408462e-08,1.2491951018569311e-08
2019-02-27 13:55:47.477000,1.2112975791735215e-08,1.667263581884016e-08,1.9148073785004546e-08,1.3568128756619419e-08
2019-02-27 14:10:47.477000,1.3520045253028988e-08,1.8533085665813585e-08,2.1361215593105775e-08,1.498265481730271e-08
2019-02-27 14:25:47.477000,1.4855646013950747e-08,1.8613440990039697e-08,2.0677905656569676e-08,1.4372538232361124e-08
2019-02-27 14:40:47.477000,1.3196078475595857e-08,1.625158493428745e-08,1.7840984262647204e-08,1.2487225372415754e-08
2019-02-27 14:55:47.477000,1.063648305010639e-08,1.370079541450018e-08,1.567822996336099e-08,1.0915234336832582e-08
2019-02-27 15:10:47.477000,1.147314592624324e-08,1.546881942304643e-08,1.7915508743559758e-08,1.2821482039313412e-08
2019-02-27 15:25:47.477000,1.204390600965618e-08,1.7584960137332806e-08,2.101847600151193e-08,1.4387568802850553e-08
2019-02-27 15:40:47.477000,1.1994151557313063e-08,1.7999941550793246e-08,2.1374181805983585e-08,1.4265472866719335e-08
2019-02-27 15:55:47.477000,1.1579688223179015e-08,1.68886658571035e-08,1.9589671921545684e-08,1.3444773114680592e-08
2019-02-27 16:10:47.477000,1.0989636868712722e-08,1.4849591914131019e-08,1.690433662163736e-08,1.2269930318459502e-08
2019-02-27 16:25:47.477000,1.0467148775160211e-08,1.3953186659261615e-08,1.5899482303514736e-08,1.1539007950972925e-08
2019-02-27 16:40:47.477000,9.72689093696492e-09,1.3145300139913929e-08,1.4842756859007501e-08,1.0742537941748888e-08
2019-02-27 16:55:47.477000,9.87734683498576e-09,1.3701986774096382e-08,1.5738505691456415e-08,1.1111371528638537e-08
2019-02-27 17:10:47.477000,9.776170543266262e-09,1.348117177596685e-08,1.5348742368406268e-08,1.0947833991582481e-08
2019-02-27 17:25:47.477000,1.0090162653068345e-08,1.416089096489382e-08,1.599581683823217e-08,1.1518180120161239e-08
2019-02-27 18:00:02.797000,1.1102879561325662e-08,1.3964665883372504e-08,1.5403959699291793e-08,1.1391538918558263e-08
2019-02-27 18:15:02.797000,1.2987169312892657e-08,1.569462198114878e-08,1.7111118426099568e-08,1.2477228980853131e-08
2019-02-27 18:30:02.797000,9.949499719693682e-09,1.3323869733420427e-08,1.502493427760976e-08,1.056829430934231e-08
2019-02-27 18:45:02.797000,1.0917745437856135e-08,1.4258224290187462e-08,1.6320269773826172e-08,1.1379843865396889e-08
2019-02-27 19:00:02.797000,1.1161540634477743e-08,1.4923669265386777e-08,1.7305704269776732e-08,1.205227731975514e-08
2019-02-27 19:15:02.797000,9.799684588286387e-09,1.404596386314289e-08,1.6376936651705212e-08,1.1561462431513454e-08
2019-02-27 19:30:02.797000,1.0099107604319608e-08,1.4252157740719322e-08,1.6508369857833454e-08,1.1687046450393055e-08
2019-02-27 19:45:02.797000,1.2477777988042088e-08,1.6133057492326447e-08,1.8302951933821365e-08,1.2412812252041666e-08
2019-02-27 20:00:02.797000,1.0304043603753075e-08,1.4636189562803214e-08,1.7230462239566303e-08,1.1624011042742554e-08
2019-02-27 20:15:02.797000,9.124966666052918e-09,1.200847549685517e-08,1.3766369708138485e-08,9.903527839230904e-09
2019-02-27 20:30:02.797000,8.04881677155759e-09,1.140801395178982e-08,1.3461006536175155e-08,9.151899735550321e-09
2019-02-27 20:45:02.797000,7.983679451618943e-09,1.1253787899260831e-08,1.3342263368342144e-08,9.002753938963657e-09
2019-02-27 21:00:02.797000,8.20959525297829e-09,1.128279040790736e-08,1.315575713341555e-08,9.250981104853084e-09
2019-02-27 21:15:02.797000,8.654640089791853e-09,1.1282623076521418e-08,1.2840658176707066e-08,9.033403518929084e-09
2019-02-27 21:30:02.797000,9.703359842627712e-09,1.2264933802795205e-08,1.393106262909854e-08,9.348040447856065e-09
2019-02-27 21:45:02.797000,6.871636570382538e-09,1.0369187605990469e-08,1.2551386228875072e-08,8.261933932442178e-09
2019-02-27 22:00:02.797000,5.918469990024008e-09,8.195914256799464e-09,9.680439841480526e-09,6.6925743644358815e-09
2019-02-27 22:15:02.797000,5.250496796097837e-09,7.107367024630624e-09,8.169407525284505e-09,5.73779973273897e-09
2019-02-27 22:30:02.797000,5.1205293218183615e-09,7.4436662491508104e-09,8.70529795645938e-09,6.120114519785563e-09
2019-02-27 22:45:02.797000,7.2638296411158304e-09,9.155254940986546e-09,1.022677917073969e-08,6.454428940787809e-09
2019-02-27 23:00:02.797000,6.969225136892914e-09,8.514812814228466e-09,9.488668662468516e-09,5.917328310400678e-09
2019-02-27 23:15:02.797000,4.752152584898332e-09,6.803852420731523e-09,8.476550363377944e-09,5.482973863626735e-09
2019-02-27 23:30:02.797000,4.25859518876775e-09,5.9279047929586205e-09,7.248306176938408e-09,4.7668730583472e-09
2019-02-27 23:45:02.797000,6.3165090961538735e-09,7.79647894407068e-09,8.803675381664625e-09,6.226547920936393e-09
2019-02-28 00:00:02.797000,6.199263176335563e-09,7.247230876237637e-09,8.002105919791421e-09,5.7970383204559254e-09
2019-02-28 00:15:02.797000,3.4043524784682472e-09,4.2802981826640455e-09,5.190058601239268e-09,3.284735882234249e-09
2019-02-28 00:30:02.797000,3.0893053471983274e-09,4.102949601629133e-09,4.828540046979741e-09,2.9924274938372933e-09
2019-02-28 00:45:02.797000,2.709543743207217e-09,3.150643692869403e-09,3.3318054376921337e-09,2.1697125249075447e-09
2019-02-28 01:00:02.797000,2.8431806286849402e-09,3.5310137610282074e-09,3.8526947870236415e-09,2.4310500840849067e-09
2019-02-28 01:15:02.797000,2.946169997733753e-09,3.726802176886222e-09,4.131385092899793e-09,2.664561413557991e-09
2019-02-28 01:30:02.797000,2.517816656837289e-09,3.2437026099570645e-09,3.6778394306052984e-09,2.4558897906812134e-09
2019-02-28 01:45:02.797000,2.6644789590749724e-09,3.808720590953419e-09,4.527289764910232e-09,2.9847795117528327e-09
2019-02-28 02:00:02.797000,2.2557162827476687e-09,2.5675342943316326e-09,2.7802213202448387e-09,1.5566718641100429e-09
2019-02-28 02:15:02.797000,2.6676931763681353e-09,3.2475067134526814e-09,3.580070674461329e-09,2.273434540690083e-09
2019-02-28 02:30:02.797000,2.8275550568866237e-09,3.3098752479832442e-09,3.71313019529838e-09,2.3284227261953067e-09
2019-02-28 02:45:02.797000,2.705054183826233e-09,3.0239911423479358e-09,3.4149227014802373e-09,2.0838055871057485e-09
2019-02-28 03:00:02.797000,5.729802087585439e-09,5.828833789335195e-09,5.899925629856767e-09,4.0525581603399964e-09
2019-02-28 03:15:02.797000,1.0209210759134948e-08,1.0383266067954143e-08,1.0539118159833481e-08,7.355528712968236e-09
2019-02-28 03:30:02.797000,2.548320724213151e-09,3.405543690072128e-09,4.033900393265414e-09,2.452599419118817e-09
2019-02-28 03:45:02.797000,1.9948696122078293e-09,2.3175038783810643e-09,2.555641805377264e-09,1.3947684256567697e-09
2019-02-28 04:00:02.797000,2.247905318869193e-09,2.712484844454505e-09,3.028314489373835e-09,1.8188425914030402e-09
2019-02-28 04:15:02.797000,2.645427060849815e-09,3.1205251728019e-09,3.403130457216794e-09,2.0280075250815033e-09
2019-02-28 04:30:02.797000,1.0623069070884727e-08,1.0664050453605173e-08,1.0676904583767679e-08,5.993281925645066e-09
2019-02-28 04:45:02.797000,5.549761912272644e-09,5.744079562857143e-09,5.786314184355758e-09,3.415250399408776e-09
2019-02-28 05:00:02.797000,3.4990573060573966e-09,3.967093291189559e-09,4.326257650219801e-09,2.888025609503476e-09
2019-02-28 05:15:02.797000,4.257144866603574e-09,5.202860736412468e-09,5.990030706258858e-09,4.16062795182891e-09
2019-02-28 05:30:02.797000,4.7610970854848165e-09,5.529918163421599e-09,6.102623111721518e-09,4.446341295990144e-09
2019-02-28 05:45:02.797000,6.495214842466533e-09,7.881284874028067e-09,8.579073303791601e-09,6.456498756044624e-09
2019-02-28 06:00:02.797000,6.93905701176323e-09,8.635485469846145e-09,9.810785297036905e-09,7.018369295114587e-09
2019-02-28 06:15:02.797000,8.177931070077052e-09,1.1143723266993258e-08,1.29809124401131e-08,9.030559322666277e-09
2019-02-28 06:30:02.797000,1.1057856814964727e-08,1.5091990848808776e-08,1.7548070304922277e-08,1.2408008546722541e-08
2019-02-28 06:45:02.797000,1.2456287784245093e-08,1.6576791255156224e-08,1.9113131987933708e-08,1.3831294660139559e-08
2019-02-28 07:00:02.797000,1.1812200961968207e-08,1.5843565465567378e-08,1.8039049695335073e-08,1.3225561351577925e-08
2019-02-28 07:15:02.797000,1.1719755325008955e-08,1.5653021335595292e-08,1.7955460886118467e-08,1.3018452799128865e-08
2019-02-28 07:30:02.797000,1.3119059488171829e-08,1.6747979485032555e-08,1.8956314068117783e-08,1.383508077841397e-08
2019-02-28 07:45:02.797000,1.2975429131662101e-08,1.6702296140610458e-08,1.9141091137222942e-08,1.3841795617784201e-08
2019-02-28 08:00:02.797000,1.1922348870239538e-08,1.554254704155138e-08,1.775231602872807e-08,1.3149019210667298e-08
2019-02-28 08:15:02.797000,1.1224042408162953e-08,1.5025148816532427e-08,1.7287851225546148e-08,1.2582952766764943e-08
2019-02-28 08:30:02.797000,1.0549295221205336e-08,1.4276036584905949e-08,1.6385651461762142e-08,1.1722722271521936e-08
2019-02-28 08:45:02.797000,1.0490945917597044e-08,1.4140593047684396e-08,1.5951811601801387e-08,1.1723080004863442e-08
2019-02-28 09:00:02.797000,1.019841396436941e-08,1.3702489611915088e-08,1.5371660939349997e-08,1.1307611575093237e-08
2019-02-28 09:15:02.797000,1.030089843826003e-08,1.346303024168425e-08,1.495714955212626e-08,1.0970667380864848e-08
2019-02-28 09:30:02.797000,1.1369567881082134e-08,1.4741138679265493e-08,1.6767553631355408e-08,1.233130015415569e-08
2019-02-28 09:45:02.797000,1.2085162427006526e-08,1.6206466927630563e-08,1.8770529570587928e-08,1.358637412312349e-08
2019-02-28 10:00:02.797000,1.1791727736711146e-08,1.6296996886805686e-08,1.8928778296291423e-08,1.3565196476080282e-08
2019-02-28 10:15:02.797000,1.2080655838985583e-08,1.6257171599880684e-08,1.861554942168198e-08,1.3645780642950625e-08
2019-02-28 10:30:02.797000,1.1913247474143686e-08,1.6009434009711214e-08,1.8537004357276542e-08,1.3346180741451553e-08
2019-02-28 10:45:02.797000,1.1434869682960573e-08,1.587400827826641e-08,1.8777204627153854e-08,1.2941140381100308e-08
2019-02-28 11:00:02.797000,1.3343479569328485e-08,1.6994398568829126e-08,1.9223562203401334e-08,1.3374133218616527e-08
2019-02-28 11:15:02.797000,1.528492216433907e-08,1.8315105335574065e-08,2.020153948435726e-08,1.4409985429316666e-08
2019-02-28 11:30:02.797000,1.0958779585130141e-08,1.517968139732513e-08,1.7492321036239674e-08,1.22746926906092e-08
2019-02-28 11:45:02.797000,1.1831358337723159e-08,1.6215162690366645e-08,1.9050731342828496e-08,1.313681746309409e-08
2019-02-28 12:00:02.797000,1.1591177406864252e-08,1.5957275059862045e-08,1.8527983964489517e-08,1.3175768898526127e-08
2019-02-28 12:15:02.797000,1.0292965269147042e-08,1.3871876693330311e-08,1.564293831822947e-08,1.1480357363308385e-08
2019-02-28 12:30:02.797000,1.1064572027804231e-08,1.5520193589687078e-08,1.7601976877854034e-08,1.2844660740354333e-08
2019-02-28 12:45:02.797000,1.2669553171610065e-08,1.738364097388913e-08,1.9808505800614347e-08,1.4251695024008922e-08
2019-02-28 13:00:02.797000,1.1810166610582394e-08,1.5596021729936055e-08,1.7914332601924705e-08,1.2406976445641875e-08
