,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2021-12-31 18:00:01.406999,8.09225597687838e-09,1.2002310049465674e-08,1.4846770822131019e-08,9.80207716872207e-09
2021-12-31 18:15:01.406999,8.315474492457778e-09,1.26949332429686e-08,1.5676755478435747e-08,1.0221023455441491e-08
2021-12-31 18:30:01.406999,7.520578018141735e-09,1.127521317554983e-08,1.3853232987845606e-08,9.131782668582486e-09
2021-12-31 18:45:01.406999,7.919412824959853e-09,1.1730401223437256e-08,1.4325103670458878e-08,9.512772430408917e-09
2021-12-31 19:00:01.406999,7.674223898911657e-09,1.1694526669476704e-08,1.4266985494946593e-08,9.591787305229819e-09
2021-12-31 19:15:01.406999,7.0991127501889396e-09,1.0146651853208553e-08,1.2466866923637032e-08,8.382760508724009e-09
2021-12-31 19:30:01.406999,7.213971704531225e-09,1.022312661170379e-08,1.302608673909943e-08,8.266747603343248e-09
2021-12-31 19:45:01.406999,7.214671242450664e-09,1.0345211508656082e-08,1.3049704684296636e-08,8.497227174306804e-09
2021-12-31 20:00:01.406999,8.827174302530497e-09,1.3326637773077175e-08,1.638225148372764e-08,1.1143752178247427e-08
2021-12-31 20:15:01.406999,8.960731086082794e-09,1.3783557240563643e-08,1.723588815308243e-08,1.1377012310623784e-08
2021-12-31 20:30:01.406999,8.423380588299912e-09,1.271170792170586e-08,1.5874538738397527e-08,1.0496608768630676e-08
2021-12-31 20:45:01.406999,8.237642644433953e-09,1.3408005690836422e-08,1.6655298374119238e-08,1.1324896272852365e-08
2021-12-31 21:00:01.406999,8.129222523484966e-09,1.29449064860688e-08,1.5904894488393915e-08,1.089485207514351e-08
2021-12-31 21:15:01.406999,1.4004474612427131e-08,1.605132350110006e-08,1.7958091444209307e-08,1.0902684036373868e-08
2021-12-31 21:30:01.406999,1.6401565762908914e-08,1.7945342135679017e-08,1.9403150429411327e-08,1.0659440949709928e-08
2021-12-31 21:45:01.406999,6.840872269666584e-09,1.0763702059485308e-08,1.337369648625267e-08,8.759773276795088e-09
2021-12-31 22:00:01.406999,7.549553131033838e-09,1.1945652895572263e-08,1.5362221896815492e-08,9.762215720483539e-09
2021-12-31 22:15:01.406999,6.3592901370669285e-09,9.220914988986283e-09,1.1357508143039882e-08,7.66139754996556e-09
2021-12-31 22:30:01.406999,6.1039219445403056e-09,9.308119780834731e-09,1.147981854958252e-08,7.634685991235119e-09
2021-12-31 22:45:01.406999,6.415690428985917e-09,9.823805667746871e-09,1.2323188833656447e-08,8.045380907065781e-09
2021-12-31 23:00:01.406999,5.961268121179058e-09,8.340004604624926e-09,1.0359902614258253e-08,6.80047826738318e-09
2021-12-31 23:15:01.406999,5.3882956600202045e-09,8.046196901004154e-09,9.959722084957764e-09,6.5166351530016946e-09
2021-12-31 23:30:01.406999,4.903497996145139e-09,7.546554746868558e-09,9.498206110821628e-09,6.2126399928980996e-09
2021-12-31 23:45:01.406999,4.426267779898459e-09,6.371234941154361e-09,7.96669758464587e-09,5.495475410621395e-09
2022-01-01 00:00:01.406999,5.064013579005246e-09,7.410768294283869e-09,9.263056441497131e-09,6.090039178425073e-09
2022-01-01 00:15:01.406999,5.009504492209917e-09,7.502921900171643e-09,9.524146942457624e-09,5.848674297142706e-09
2022-01-01 00:30:01.406999,5.536841732250134e-09,7.963510035347147e-09,1.0204034350501298e-08,6.496985184506465e-09
2022-01-01 00:45:01.406999,5.05963559867267e-09,7.278680191769677e-09,9.2314684662378e-09,6.058540548718953e-09
2022-01-01 01:00:01.406999,4.748073164915871e-09,6.646154370256667e-09,8.274125788350512e-09,5.588195890663644e-09
2022-01-01 01:15:01.406999,4.7289829486558605e-09,7.274365825782533e-09,9.369917112596146e-09,5.750230574599886e-09
2022-01-01 01:30:01.406999,4.44213841308038e-09,6.5161236341117124e-09,8.342049553632715e-09,5.104906828256985e-09
2022-01-01 01:45:01.406999,4.264664431778488e-09,6.407697198551885e-09,8.30685471121287e-09,5.1290708319522866e-09
2022-01-01 02:00:01.406999,5.503826617515395e-09,8.203749787191896e-09,1.0319592346427426e-08,6.902641436389812e-09
2022-01-01 02:15:01.406999,4.808343679183485e-09,7.3851555216718115e-09,9.31483887627868e-09,6.237554711060957e-09
2022-01-01 02:30:01.406999,4.398350005488523e-09,7.054507464800119e-09,9.203889079473115e-09,5.762969113819692e-09
2022-01-01 02:45:01.406999,4.0733971857561066e-09,6.3919390854772494e-09,8.034847552327626e-09,5.228650580424269e-09
2022-01-01 03:00:01.406999,3.5898251938712893e-09,5.376910569948501e-09,6.617973507773622e-09,4.250004075508503e-09
2022-01-01 03:15:01.406999,3.493541375544482e-09,5.171236248164966e-09,6.321533629452065e-09,4.232110575899868e-09
2022-01-01 03:30:01.406999,2.8217383767429917e-09,4.393062148164484e-09,5.379771033855039e-09,3.5501459993520187e-09
2022-01-01 03:45:01.406999,1.957712032441102e-09,2.574481376423431e-09,2.887188849663569e-09,2.0666936476612225e-09
2022-01-01 04:00:01.406999,1.792311415373771e-09,2.072956953102135e-09,2.2979025906302478e-09,1.6708050192427642e-09
2022-01-01 04:15:01.406999,1.9611219736620363e-09,2.4857170082243585e-09,2.96406542198012e-09,1.9692787961393633e-09
2022-01-01 04:30:01.406999,1.4823376103889661e-09,1.7779435341828474e-09,2.026273197954196e-09,1.3935371047603738e-09
2022-01-01 04:45:01.406999,1.776365090404937e-09,2.473408613996467e-09,2.9460969017854642e-09,1.9430863230182393e-09
2022-01-01 05:00:01.406999,1.685821594230351e-09,2.39377036454777e-09,2.804531729940633e-09,1.892647583281979e-09
2022-01-01 05:15:01.406999,1.1402771671361871e-09,1.2877198664488611e-09,1.4100100203021447e-09,1.0088855642631912e-09
2022-01-01 05:30:01.406999,1.877514187687883e-09,2.677758323264882e-09,3.4690461412061045e-09,2.189457019717391e-09
2022-01-01 05:45:01.406999,2.11231281217201e-09,3.023472579488197e-09,3.937755072187693e-09,2.4795985593987445e-09
2022-01-01 06:00:01.406999,1.5260559775857142e-09,1.761522707005589e-09,1.8905883666936257e-09,1.3429932189252316e-09
2022-01-01 06:15:01.406999,1.8237084764980783e-09,2.192377550890788e-09,2.452775415446061e-09,1.6913964007478317e-09
2022-01-01 06:30:01.406999,2.4408000192221344e-09,3.0174646854032085e-09,3.251210354756117e-09,2.485927608932498e-09
2022-01-01 06:45:01.406999,2.812121646445895e-09,4.054684727457201e-09,4.966121681838861e-09,3.1990398696068996e-09
2022-01-01 07:00:01.406999,2.6327769654594472e-09,3.77017385894032e-09,4.664934058487769e-09,2.9303369482413126e-09
2022-01-01 07:15:01.406999,2.6777805288820165e-09,3.3782138645680664e-09,3.979303982420745e-09,2.7327051413234783e-09
2022-01-01 07:30:01.406999,2.681663499281896e-09,3.412844347743619e-09,3.958468437413565e-09,2.6828910390245255e-09
2022-01-01 07:45:01.406999,2.711859636867803e-09,3.2997396700487453e-09,3.8547560054200435e-09,2.619114084173713e-09
2022-01-01 08:00:01.406999,3.37670105964842e-09,4.613836008365748e-09,5.590541481269965e-09,3.7064163048772254e-09
2022-01-01 08:15:01.406999,3.8526957056493e-09,5.402692121570214e-09,6.314908035261485e-09,4.4259389040170684e-09
2022-01-01 08:30:01.406999,4.321009508708212e-09,5.700110421433355e-09,6.469978654134361e-09,4.952302548127675e-09
2022-01-01 08:45:01.406999,4.207657302190853e-09,5.308096490361899e-09,6.134273768306139e-09,4.5264242739057644e-09
2022-01-01 09:00:01.406999,4.415651014163318e-09,6.2032468336899805e-09,7.231213216596878e-09,5.0943173378882505e-09
2022-01-01 09:15:01.406999,4.836654257640801e-09,6.5245265091975934e-09,7.546916830390888e-09,5.434509867389601e-09
2022-01-01 09:30:01.406999,4.761519881703191e-09,6.376466652104641e-09,7.82920435301806e-09,5.4194426176842985e-09
2022-01-01 09:45:01.406999,4.996134576301849e-09,7.080961862482168e-09,8.670278547656026e-09,5.98725915381942e-09
2022-01-01 10:00:01.406999,5.300746117061752e-09,6.8052370328368475e-09,8.00563310692162e-09,5.880748973585295e-09
2022-01-01 10:15:01.406999,5.587233751665075e-09,7.776769909902386e-09,9.579982374529532e-09,6.533070562013609e-09
2022-01-01 10:30:01.406999,4.960968480462808e-09,7.3867028515125335e-09,9.253750897654063e-09,6.0068269265231574e-09
2022-01-01 10:45:01.406999,5.598207129055073e-09,8.59692875541922e-09,1.0382396444416466e-08,6.899001035129849e-09
2022-01-01 11:00:01.406999,5.842684514074788e-09,8.834027579968037e-09,1.0470788695760303e-08,7.236210449321896e-09
2022-01-01 11:15:01.406999,6.3364889560595786e-09,9.194325544180293e-09,1.090135258446161e-08,7.683779819701032e-09
2022-01-01 11:30:01.406999,6.8607085432354286e-09,1.017571891119165e-08,1.252338334687906e-08,8.384618764956688e-09
2022-01-01 11:45:01.406999,6.757243251874028e-09,9.858431016321787e-09,1.2171145596881756e-08,8.13851284301641e-09
2022-01-01 12:00:01.406999,6.193360867545677e-09,9.13903272537714e-09,1.1444919102671462e-08,7.432490184053508e-09
2022-01-01 12:15:01.406999,6.434149387424849e-09,9.573690747348807e-09,1.1827742018474567e-08,7.736456255709296e-09
2022-01-01 12:30:01.406999,6.221924678696103e-09,9.328759122964553e-09,1.1642332524687274e-08,7.517776948844726e-09
