,4.0-14.0,4.0-20.0,4.0-40.0,6.0-18.0
2020-12-31 18:00:00.265000,7.404607839405934e-09,1.0212548794527703e-08,1.1831401748342724e-08,8.355659354207524e-09
2020-12-31 18:15:00.265000,8.069601473818504e-09,1.0754245210413475e-08,1.2468318334720812e-08,9.012991028100927e-09
2020-12-31 18:30:00.265000,6.3408867429369874e-09,8.321723219738681e-09,9.558482706408741e-09,6.884551536935366e-09
2020-12-31 18:45:00.265000,5.870570965986007e-09,8.298010092172295e-09,9.543263689951778e-09,6.794444838414432e-09
2020-12-31 19:00:00.265000,6.474563571017954e-09,9.14329697908663e-09,1.0571087721061202e-08,7.521933917466455e-09
2020-12-31 19:15:00.265000,7.616098372745127e-09,1.0778158403290731e-08,1.2814248094461514e-08,8.965007514479289e-09
2020-12-31 19:30:00.265000,6.932606648443471e-09,9.706911725061786e-09,1.145922540918686e-08,8.16890483150482e-09
2020-12-31 19:45:00.265000,6.2857343248714885e-09,8.715998436106543e-09,1.0201317943318728e-08,7.2270607631966785e-09
2020-12-31 20:00:00.265000,6.82859572747127e-09,9.901565221284062e-09,1.186362092623175e-08,8.196858901272202e-09
2020-12-31 20:15:00.265000,6.456573997479348e-09,9.286414412143937e-09,1.0995280569684994e-08,7.748323002025985e-09
2020-12-31 20:30:00.265000,5.575313837649143e-09,8.630663438906223e-09,1.036634218965362e-08,7.165070275202898e-09
2020-12-31 20:45:00.265000,5.1152515747146485e-09,7.161849561521508e-09,8.754829233290143e-09,5.839882665760106e-09
2020-12-31 21:00:00.265000,6.306597011016019e-09,8.398407735560962e-09,1.0134600527645982e-08,6.485943619727439e-09
2020-12-31 21:15:00.265000,7.774011768115042e-09,1.0508694590160224e-08,1.2253846682882153e-08,8.462848118450784e-09
2020-12-31 21:30:00.265000,6.294447574342965e-09,9.396187450119423e-09,1.1238929915464568e-08,7.94264153654931e-09
2020-12-31 21:45:00.265000,4.772609017554112e-09,7.3574143979317506e-09,9.184374883896177e-09,6.071986512685347e-09
2020-12-31 22:00:00.265000,5.895391625455862e-09,7.475123606423356e-09,8.870139819130827e-09,5.812957198521105e-09
2020-12-31 22:15:00.265000,5.781737956545827e-09,7.183775099941078e-09,8.435725849223173e-09,5.572424504829091e-09
2020-12-31 22:30:00.265000,3.181856844994437e-09,4.535161195640068e-09,5.623773324766142e-09,3.766635760901293e-09
2020-12-31 22:45:00.265000,1.250962230519645e-08,1.269217330782541e-08,1.2882275572607285e-08,8.328136836473825e-09
2020-12-31 23:00:00.265000,9.969966815278342e-09,1.0262502571303631e-08,1.0571369541774263e-08,6.688647116397745e-09
2020-12-31 23:15:00.265000,3.1495843948182453e-09,4.6933495193382916e-09,5.8845704717881605e-09,3.893033214114208e-09
2020-12-31 23:30:00.265000,2.6907346890305194e-09,3.7151830263441086e-09,4.436541333921246e-09,3.0622977168742315e-09
2020-12-31 23:45:00.265000,2.2745121213533504e-09,3.035776038181462e-09,3.503898289357422e-09,2.4957493629755484e-09
2021-01-01 00:00:00.265000,3.1113998759675927e-09,4.326322486524036e-09,4.9823231653577785e-09,3.724929870205091e-09
2021-01-01 00:15:00.265000,3.2959943706144448e-09,4.4557122431572555e-09,5.1351552653549645e-09,3.787407138304824e-09
2021-01-01 00:30:00.265000,2.808956618001478e-09,3.840420027302717e-09,4.46396175733146e-09,3.0930125872939204e-09
2021-01-01 00:45:00.265000,2.4453047665158286e-09,3.301856497187609e-09,3.713389749488431e-09,2.730523846612359e-09
2021-01-01 01:00:00.265000,2.4648586574920073e-09,3.5165112167463867e-09,4.006077349657619e-09,2.9138198164808844e-09
2021-01-01 01:15:00.265000,2.8452492371350072e-09,4.59575816741944e-09,5.391768902089319e-09,3.84562755711375e-09
2021-01-01 01:30:00.265000,2.995236488364306e-09,4.553413342296522e-09,5.4470863917251186e-09,3.856046185713185e-09
2021-01-01 01:45:00.265000,2.980918092182371e-09,4.417742726619909e-09,5.5211465128779405e-09,3.5300159891339397e-09
2021-01-01 02:00:00.265000,3.527761173263165e-09,5.004821974561917e-09,6.670509703656113e-09,4.1660383238061725e-09
2021-01-01 02:15:00.265000,2.715344099477904e-09,3.611873775911374e-09,4.334639515255207e-09,3.064977511179661e-09
2021-01-01 02:30:00.265000,2.691922150183355e-09,3.354420854563731e-09,3.815080207502724e-09,2.8769224659242194e-09
2021-01-01 02:45:00.265000,2.1777683973849214e-09,2.7595490294215113e-09,3.1730350711739064e-09,2.3110474908933828e-09
2021-01-01 03:00:00.265000,2.165841052955674e-09,2.9098379733870356e-09,3.4811958057776546e-09,2.376665768113121e-09
2021-01-01 03:15:00.265000,1.89776298805191e-09,2.2818416079004162e-09,2.606902419876422e-09,1.8431290668824016e-09
2021-01-01 03:30:00.265000,1.3392121091853326e-09,1.4962052244064122e-09,1.537285543396674e-09,1.2213228379692961e-09
2021-01-01 03:45:00.265000,1.3067435338092953e-09,1.4632530475228116e-09,1.5203679794835954e-09,1.1737810838470298e-09
2021-01-01 04:00:00.265000,2.4031847023954814e-09,2.8230058897888984e-09,3.227004608004684e-09,2.392766799709758e-09
2021-01-01 04:15:00.265000,2.2834038486981064e-09,2.7061094017396982e-09,3.123552706699441e-09,2.271545378775303e-09
2021-01-01 04:30:00.265000,2.296597253455399e-09,2.9335309098562943e-09,3.5649985733606305e-09,2.5111743151270827e-09
2021-01-01 04:45:00.265000,2.062730729922588e-09,2.864757590639051e-09,3.545562830702125e-09,2.365668264238653e-09
2021-01-01 05:00:00.265000,9.48245258466752e-10,1.1402323245502667e-09,1.1968433206596694e-09,8.533430078498566e-10
2021-01-01 05:15:00.265000,1.4706400372999733e-09,1.691188001499838e-09,1.854703773647591e-09,1.35539245150691e-09
2021-01-01 05:30:00.265000,2.013525856477653e-09,2.6033638967152157e-09,3.198106069016413e-09,2.0212476076799053e-09
2021-01-01 05:45:00.265000,1.8262098204940341e-09,2.4089520483586436e-09,2.976506501051306e-09,1.7661000799565578e-09
2021-01-01 06:00:00.265000,2.387217922249334e-09,4.153296001775406e-09,4.8457578453095565e-09,3.008473382658819e-09
2021-01-01 06:15:00.265000,2.8892766963743916e-09,4.583740359191231e-09,5.279962240204946e-09,3.4320344166007307e-09
2021-01-01 06:30:00.265000,2.516227450859964e-09,3.2913485502211812e-09,3.8968197734168815e-09,2.683728546103554e-09
2021-01-01 06:45:00.265000,2.4755429051482245e-09,3.1401504123670114e-09,3.5734268131518842e-09,2.480489982866194e-09
2021-01-01 07:00:00.265000,2.8513552398801815e-09,3.5302797637584276e-09,3.776405022049862e-09,2.910461496734318e-09
2021-01-01 07:15:00.265000,3.4052317785307435e-09,4.29955592593583e-09,4.636208939063542e-09,3.6330635467332207e-09
2021-01-01 07:30:00.265000,3.381833266063117e-09,4.1724275171433156e-09,4.4935254556739955e-09,3.53876227521818e-09
2021-01-01 07:45:00.265000,3.2410564874095436e-09,3.6227295745883497e-09,3.832347666596889e-09,2.974657004630156e-09
2021-01-01 08:00:00.265000,4.010070340459684e-09,4.459254837903074e-09,4.731996753506339e-09,3.817591137408946e-09
2021-01-01 08:15:00.265000,3.9286708799455e-09,5.309160735649856e-09,5.998151075939994e-09,4.381122908956919e-09
2021-01-01 08:30:00.265000,3.877168814919401e-09,5.377138972215269e-09,6.1103100672668404e-09,4.407099086842789e-09
2021-01-01 08:45:00.265000,4.0647890247593364e-09,4.981952399174451e-09,5.376826490342621e-09,4.203041582822355e-09
2021-01-01 09:00:00.265000,3.745611509839854e-09,4.6500058144494495e-09,5.144318547687454e-09,3.860110567173097e-09
2021-01-01 09:15:00.265000,3.974181773763877e-09,4.9254553305734224e-09,5.494750249643933e-09,4.146509151842557e-09
2021-01-01 09:30:00.265000,3.2264121532260343e-09,3.738278390524654e-09,4.0376909915796325e-09,3.054470868258718e-09
2021-01-01 09:45:00.265000,6.23455161707899e-09,8.114269374413817e-09,9.462915006203037e-09,6.833885581178256e-09
2021-01-01 10:00:00.265000,6.222274538576005e-09,8.456155177299758e-09,1.0100571919597146e-08,7.0389841639939505e-09
2021-01-01 10:15:00.265000,4.478500430401451e-09,5.6973148630822625e-09,6.360844898289349e-09,4.772673100381525e-09
2021-01-01 10:30:00.265000,4.934934722802798e-09,6.33119985698495e-09,7.091071058420185e-09,5.3719748599330084e-09
2021-01-01 10:45:00.265000,4.803696256856043e-09,6.454182246995968e-09,7.50449046805424e-09,5.391936536843807e-09
2021-01-01 11:00:00.265000,4.866968281389513e-09,6.700359431297585e-09,7.804394705457179e-09,5.496265912562245e-09
2021-01-01 11:15:00.265000,6.143820076863536e-09,8.244047502564931e-09,9.282293487755552e-09,6.9970627406747e-09
